  ('AI-1000', 'Air India', 'Mumbai', 'Delhi', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 5 hours 43 minutes', 6421.00, 180, 53),
  ('AI-1012', 'Air India', 'Mumbai', 'Ahmedabad', NOW() + INTERVAL '6 days 16 hours', NOW() + INTERVAL '6 days 17 hours 27 minutes', 6678.00, 180, 29),
  ('SP-1013', 'SpiceJet', 'Mumbai', 'Kochi', NOW() + INTERVAL '6 days 7 hours', NOW() + INTERVAL '6 days 9 hours 31 minutes', 5600.00, 180, 111),
  ('ST-1014', 'Star Air', 'Delhi', 'Bangalore', NOW() + INTERVAL '0 days 9 hours', NOW() + INTERVAL '0 days 12 hours 54 minutes', 6000.00, 180, 48),
  ('AK-1015', 'Akasa Air', 'Delhi', 'Pune', NOW() + INTERVAL '0 days 13 hours', NOW() + INTERVAL '0 days 15 hours 43 minutes', 4024.00, 180, 12),
  ('AI-1016', 'Air India', 'Delhi', 'Hyderabad', NOW() + INTERVAL '1 days 15 hours', NOW() + INTERVAL '1 days 16 hours 54 minutes', 4802.00, 180, 0),
  ('SP-1017', 'SpiceJet', 'Delhi', 'Ahmedabad', NOW() + INTERVAL '1 days 12 hours', NOW() + INTERVAL '1 days 14 hours 41 minutes', 6882.00, 180, 37),
  ('GO-1018', 'GoAir', 'Delhi', 'Chennai', NOW() + INTERVAL '2 days 9 hours', NOW() + INTERVAL '2 days 12 hours 40 minutes', 5607.00, 180, 174),
  ('AI-1019', 'AirAsia India', 'Delhi', 'Jaipur', NOW() + INTERVAL '2 days 7 hours', NOW() + INTERVAL '2 days 10 hours 40 minutes', 7288.00, 180, 138),
  ('ST-1020', 'Star Air', 'Delhi', 'Kolkata', NOW() + INTERVAL '3 days 16 hours', NOW() + INTERVAL '3 days 17 hours 52 minutes', 6345.00, 180, 108),
  ('AK-1021', 'Akasa Air', 'Delhi', 'Lucknow', NOW() + INTERVAL '3 days 18 hours', NOW() + INTERVAL '3 days 21 hours 39 minutes', 3214.00, 180, 172),
  ('AI-1022', 'Air India', 'Delhi', 'Pune', NOW() + INTERVAL '4 days 18 hours', NOW() + INTERVAL '4 days 20 hours 32 minutes', 6759.00, 180, 160),
  ('SP-1023', 'SpiceJet', 'Delhi', 'Goa', NOW() + INTERVAL '4 days 16 hours', NOW() + INTERVAL '4 days 17 hours 41 minutes', 7752.00, 180, 74),
  ('GO-1024', 'GoAir', 'Delhi', 'Ahmedabad', NOW() + INTERVAL '5 days 17 hours', NOW() + INTERVAL '5 days 19 hours 26 minutes', 6941.00, 180, 141),
  ('AI-1025', 'AirAsia India', 'Delhi', 'Kochi', NOW() + INTERVAL '5 days 19 hours', NOW() + INTERVAL '5 days 21 hours 58 minutes', 6639.00, 180, 62),
  ('ST-1026', 'Star Air', 'Delhi', 'Jaipur', NOW() + INTERVAL '6 days 13 hours', NOW() + INTERVAL '6 days 15 hours 47 minutes', 6568.00, 180, 7),
  ('AK-1027', 'Akasa Air', 'Delhi', 'Chandigarh', NOW() + INTERVAL '6 days 21 hours', NOW() + INTERVAL '6 days 24 hours 28 minutes', 3332.00, 180, 147),
  ('GO-1028', 'GoAir', 'Bangalore', 'Hyderabad', NOW() + INTERVAL '0 days 11 hours', NOW() + INTERVAL '0 days 13 hours 54 minutes', 3451.00, 180, 130),
  ('AI-1029', 'AirAsia India', 'Bangalore', 'Ahmedabad', NOW() + INTERVAL '0 days 9 hours', NOW() + INTERVAL '0 days 10 hours 52 minutes', 7948.00, 180, 157),
  ('ST-1030', 'Star Air', 'Bangalore', 'Chennai', NOW() + INTERVAL '1 days 21 hours', NOW() + INTERVAL '1 days 24 hours 45 minutes', 5152.00, 180, 12),
  ('AK-1031', 'Akasa Air', 'Bangalore', 'Jaipur', NOW() + INTERVAL '1 days 16 hours', NOW() + INTERVAL '1 days 18 hours 36 minutes', 3367.00, 180, 59),
  ('AI-1032', 'Air India', 'Bangalore', 'Kolkata', NOW() + INTERVAL '2 days 4 hours', NOW() + INTERVAL '2 days 7 hours 52 minutes', 5788.00, 180, 101),
  ('SP-1033', 'SpiceJet', 'Bangalore', 'Lucknow', NOW() + INTERVAL '2 days 19 hours', NOW() + INTERVAL '2 days 22 hours 35 minutes', 3371.00, 180, 90),
  ('GO-1034', 'GoAir', 'Bangalore', 'Pune', NOW() + INTERVAL '3 days 18 hours', NOW() + INTERVAL '3 days 19 hours 19 minutes', 6694.00, 180, 40),
  ('AI-1035', 'AirAsia India', 'Bangalore', 'Goa', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 9 hours 53 minutes', 7568.00, 180, 61),
  ('ST-1036', 'Star Air', 'Bangalore', 'Ahmedabad', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 11 hours 23 minutes', 4455.00, 180, 12),
  ('AK-1037', 'Akasa Air', 'Bangalore', 'Kochi', NOW() + INTERVAL '4 days 19 hours', NOW() + INTERVAL '4 days 21 hours 22 minutes', 5126.00, 180, 111),
  ('AI-1038', 'Air India', 'Bangalore', 'Jaipur', NOW() + INTERVAL '5 days 2 hours', NOW() + INTERVAL '5 days 5 hours 17 minutes', 7791.00, 180, 31),
  ('SP-1039', 'SpiceJet', 'Bangalore', 'Chandigarh', NOW() + INTERVAL '5 days 7 hours', NOW() + INTERVAL '5 days 8 hours 39 minutes', 6909.00, 180, 99),
  ('GO-1040', 'GoAir', 'Bangalore', 'Lucknow', NOW() + INTERVAL '6 days 3 hours', NOW() + INTERVAL '6 days 4 hours 36 minutes', 7075.00, 180, 70),
  ('AI-1041', 'AirAsia India', 'Bangalore', 'Indore', NOW() + INTERVAL '6 days 7 hours', NOW() + INTERVAL '6 days 9 hours 28 minutes', 6422.00, 180, 155),
  ('AI-1042', 'Air India', 'Hyderabad', 'Chennai', NOW() + INTERVAL '0 days 16 hours', NOW() + INTERVAL '0 days 18 hours 49 minutes', 8000.00, 180, 167),
  ('SP-1043', 'SpiceJet', 'Hyderabad', 'Jaipur', NOW() + INTERVAL '0 days 11 hours', NOW() + INTERVAL '0 days 13 hours 49 minutes', 6319.00, 180, 96),
  ('GO-1044', 'GoAir', 'Hyderabad', 'Kolkata', NOW() + INTERVAL '1 days 21 hours', NOW() + INTERVAL '1 days 24 hours 59 minutes', 7261.00, 180, 158),
  ('AI-1045', 'AirAsia India', 'Hyderabad', 'Lucknow', NOW() + INTERVAL '1 days 15 hours', NOW() + INTERVAL '1 days 17 hours 25 minutes', 3195.00, 180, 110),
  ('ST-1046', 'Star Air', 'Hyderabad', 'Pune', NOW() + INTERVAL '2 days 20 hours', NOW() + INTERVAL '2 days 22 hours 43 minutes', 3691.00, 180, 27),
  ('AK-1047', 'Akasa Air', 'Hyderabad', 'Goa', NOW() + INTERVAL '2 days 6 hours', NOW() + INTERVAL '2 days 7 hours 16 minutes', 5607.00, 180, 174),
  ('AI-1048', 'Air India', 'Hyderabad', 'Ahmedabad', NOW() + INTERVAL '3 days 6 hours', NOW() + INTERVAL '3 days 7 hours 22 minutes', 7557.00, 180, 106),
  ('SP-1049', 'SpiceJet', 'Hyderabad', 'Kochi', NOW() + INTERVAL '3 days 16 hours', NOW() + INTERVAL '3 days 17 hours 35 minutes', 4093.00, 180, 45),
  ('GO-1050', 'GoAir', 'Hyderabad', 'Jaipur', NOW() + INTERVAL '4 days 15 hours', NOW() + INTERVAL '4 days 18 hours 51 minutes', 5108.00, 180, 159),
  ('AI-1051', 'AirAsia India', 'Hyderabad', 'Chandigarh', NOW() + INTERVAL '4 days 20 hours', NOW() + INTERVAL '4 days 23 hours 19 minutes', 4183.00, 180, 30),
  ('ST-1052', 'Star Air', 'Hyderabad', 'Lucknow', NOW() + INTERVAL '5 days 7 hours', NOW() + INTERVAL '5 days 9 hours 23 minutes', 6676.00, 180, 52),
  ('AK-1053', 'Akasa Air', 'Hyderabad', 'Indore', NOW() + INTERVAL '5 days 9 hours', NOW() + INTERVAL '5 days 11 hours 15 minutes', 7191.00, 180, 26),
  ('AI-1054', 'Air India', 'Hyderabad', 'Goa', NOW() + INTERVAL '6 days 19 hours', NOW() + INTERVAL '6 days 22 hours 24 minutes', 4347.00, 180, 77),
  ('SP-1055', 'SpiceJet', 'Hyderabad', 'Bhopal', NOW() + INTERVAL '6 days 8 hours', NOW() + INTERVAL '6 days 9 hours 47 minutes', 3445.00, 180, 4),
  ('ST-1056', 'Star Air', 'Chennai', 'Kolkata', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 5 hours 42 minutes', 7181.00, 180, 69),
  ('AK-1057', 'Akasa Air', 'Chennai', 'Lucknow', NOW() + INTERVAL '0 days 15 hours', NOW() + INTERVAL '0 days 17 hours 16 minutes', 7282.00, 180, 145),
  ('AI-1058', 'Air India', 'Chennai', 'Pune', NOW() + INTERVAL '1 days 9 hours', NOW() + INTERVAL '1 days 11 hours 28 minutes', 3743.00, 180, 10),
  ('SP-1059', 'SpiceJet', 'Chennai', 'Goa', NOW() + INTERVAL '1 days 12 hours', NOW() + INTERVAL '1 days 14 hours 30 minutes', 6735.00, 180, 106),
  ('GO-1060', 'GoAir', 'Chennai', 'Ahmedabad', NOW() + INTERVAL '2 days 11 hours', NOW() + INTERVAL '2 days 14 hours 48 minutes', 3270.00, 180, 113),
  ('AI-1061', 'AirAsia India', 'Chennai', 'Kochi', NOW() + INTERVAL '2 days 16 hours', NOW() + INTERVAL '2 days 17 hours 25 minutes', 6849.00, 180, 10),
  ('ST-1062', 'Star Air', 'Chennai', 'Jaipur', NOW() + INTERVAL '3 days 6 hours', NOW() + INTERVAL '3 days 8 hours 31 minutes', 6496.00, 180, 4),
  ('AK-1063', 'Akasa Air', 'Chennai', 'Chandigarh', NOW() + INTERVAL '3 days 11 hours', NOW() + INTERVAL '3 days 14 hours 54 minutes', 3378.00, 180, 137),
  ('AI-1064', 'Air India', 'Chennai', 'Lucknow', NOW() + INTERVAL '4 days 9 hours', NOW() + INTERVAL '4 days 12 hours 47 minutes', 4723.00, 180, 26),
  ('SP-1065', 'SpiceJet', 'Chennai', 'Indore', NOW() + INTERVAL '4 days 20 hours', NOW() + INTERVAL '4 days 22 hours 44 minutes', 3382.00, 180, 47),
  ('GO-1066', 'GoAir', 'Chennai', 'Goa', NOW() + INTERVAL '5 days 6 hours', NOW() + INTERVAL '5 days 7 hours 35 minutes', 4582.00, 180, 74),
  ('AI-1067', 'AirAsia India', 'Chennai', 'Bhopal', NOW() + INTERVAL '5 days 11 hours', NOW() + INTERVAL '5 days 12 hours 56 minutes', 4338.00, 180, 40),
  ('ST-1068', 'Star Air', 'Chennai', 'Kochi', NOW() + INTERVAL '6 days 4 hours', NOW() + INTERVAL '6 days 5 hours 58 minutes', 6815.00, 180, 27),
  ('AK-1069', 'Akasa Air', 'Chennai', 'Patna', NOW() + INTERVAL '6 days 10 hours', NOW() + INTERVAL '6 days 12 hours 30 minutes', 5600.00, 180, 72),
  ('GO-1070', 'GoAir', 'Kolkata', 'Pune', NOW() + INTERVAL '0 days 12 hours', NOW() + INTERVAL '0 days 13 hours 58 minutes', 5397.00, 180, 17),
  ('AI-1071', 'AirAsia India', 'Kolkata', 'Goa', NOW() + INTERVAL '0 days 20 hours', NOW() + INTERVAL '0 days 22 hours 36 minutes', 6174.00, 180, 4),
  ('ST-1072', 'Star Air', 'Kolkata', 'Ahmedabad', NOW() + INTERVAL '1 days 3 hours', NOW() + INTERVAL '1 days 4 hours 51 minutes', 3419.00, 180, 126),
  ('AK-1073', 'Akasa Air', 'Kolkata', 'Kochi', NOW() + INTERVAL '1 days 20 hours', NOW() + INTERVAL '1 days 23 hours 39 minutes', 5321.00, 180, 39),
  ('AI-1074', 'Air India', 'Kolkata', 'Jaipur', NOW() + INTERVAL '2 days 5 hours', NOW() + INTERVAL '2 days 7 hours 18 minutes', 4564.00, 180, 92),
  ('SP-1075', 'SpiceJet', 'Kolkata', 'Chandigarh', NOW() + INTERVAL '2 days 11 hours', NOW() + INTERVAL '2 days 14 hours 59 minutes', 5227.00, 180, 47),
  ('GO-1076', 'GoAir', 'Kolkata', 'Lucknow', NOW() + INTERVAL '3 days 20 hours', NOW() + INTERVAL '3 days 21 hours 35 minutes', 3485.00, 180, 161),
  ('AI-1077', 'AirAsia India', 'Kolkata', 'Indore', NOW() + INTERVAL '3 days 17 hours', NOW() + INTERVAL '3 days 19 hours 30 minutes', 5662.00, 180, 70),
  ('ST-1078', 'Star Air', 'Kolkata', 'Goa', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 9 hours 37 minutes', 4640.00, 180, 134),
  ('AK-1079', 'Akasa Air', 'Kolkata', 'Bhopal', NOW() + INTERVAL '4 days 15 hours', NOW() + INTERVAL '4 days 18 hours 35 minutes', 5386.00, 180, 31),
  ('AI-1080', 'Air India', 'Kolkata', 'Kochi', NOW() + INTERVAL '5 days 12 hours', NOW() + INTERVAL '5 days 14 hours 15 minutes', 5379.00, 180, 106),
  ('SP-1081', 'SpiceJet', 'Kolkata', 'Patna', NOW() + INTERVAL '5 days 16 hours', NOW() + INTERVAL '5 days 18 hours 21 minutes', 7617.00, 180, 124),
  ('GO-1082', 'GoAir', 'Kolkata', 'Chandigarh', NOW() + INTERVAL '6 days 10 hours', NOW() + INTERVAL '6 days 13 hours 35 minutes', 5098.00, 180, 94),
  ('AI-1083', 'AirAsia India', 'Kolkata', 'Varanasi', NOW() + INTERVAL '6 days 18 hours', NOW() + INTERVAL '6 days 20 hours 40 minutes', 6797.00, 180, 179),
  ('AI-1084', 'Air India', 'Pune', 'Ahmedabad', NOW() + INTERVAL '0 days 7 hours', NOW() + INTERVAL '0 days 10 hours 35 minutes', 4455.00, 180, 129),
  ('SP-1085', 'SpiceJet', 'Pune', 'Kochi', NOW() + INTERVAL '0 days 7 hours', NOW() + INTERVAL '0 days 9 hours 16 minutes', 6705.00, 180, 136),
  ('GO-1086', 'GoAir', 'Pune', 'Jaipur', NOW() + INTERVAL '1 days 13 hours', NOW() + INTERVAL '1 days 16 hours 33 minutes', 5841.00, 180, 79),
  ('AI-1087', 'AirAsia India', 'Pune', 'Chandigarh', NOW() + INTERVAL '1 days 18 hours', NOW() + INTERVAL '1 days 20 hours 46 minutes', 7032.00, 180, 179),
  ('ST-1088', 'Star Air', 'Pune', 'Lucknow', NOW() + INTERVAL '2 days 10 hours', NOW() + INTERVAL '2 days 12 hours 44 minutes', 6473.00, 180, 67),
  ('AK-1089', 'Akasa Air', 'Pune', 'Indore', NOW() + INTERVAL '2 days 9 hours', NOW() + INTERVAL '2 days 11 hours 41 minutes', 6523.00, 180, 69),
  ('AI-1090', 'Air India', 'Pune', 'Goa', NOW() + INTERVAL '3 days 18 hours', NOW() + INTERVAL '3 days 20 hours 56 minutes', 3650.00, 180, 151),
  ('SP-1091', 'SpiceJet', 'Pune', 'Bhopal', NOW() + INTERVAL '3 days 19 hours', NOW() + INTERVAL '3 days 21 hours 20 minutes', 7689.00, 180, 85),
  ('GO-1092', 'GoAir', 'Pune', 'Kochi', NOW() + INTERVAL '4 days 11 hours', NOW() + INTERVAL '4 days 14 hours 46 minutes', 4523.00, 180, 87),
  ('AI-1093', 'AirAsia India', 'Pune', 'Patna', NOW() + INTERVAL '4 days 21 hours', NOW() + INTERVAL '4 days 23 hours 33 minutes', 6691.00, 180, 174),
  ('ST-1094', 'Star Air', 'Pune', 'Chandigarh', NOW() + INTERVAL '5 days 8 hours', NOW() + INTERVAL '5 days 11 hours 26 minutes', 3024.00, 180, 89),
  ('AK-1095', 'Akasa Air', 'Pune', 'Varanasi', NOW() + INTERVAL '5 days 18 hours', NOW() + INTERVAL '5 days 21 hours 34 minutes', 4123.00, 180, 22),
  ('AI-1096', 'Air India', 'Pune', 'Indore', NOW() + INTERVAL '6 days 10 hours', NOW() + INTERVAL '6 days 12 hours 30 minutes', 7519.00, 180, 65),
  ('SP-1097', 'SpiceJet', 'Pune', 'Amritsar', NOW() + INTERVAL '6 days 8 hours', NOW() + INTERVAL '6 days 9 hours 25 minutes', 5706.00, 180, 104),
  ('ST-1098', 'Star Air', 'Ahmedabad', 'Jaipur', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 3 hours 34 minutes', 6615.00, 180, 79),
  ('AK-1099', 'Akasa Air', 'Ahmedabad', 'Chandigarh', NOW() + INTERVAL '0 days 10 hours', NOW() + INTERVAL '0 days 12 hours 42 minutes', 4233.00, 180, 97),
  ('AI-1100', 'Air India', 'Ahmedabad', 'Lucknow', NOW() + INTERVAL '1 days 18 hours', NOW() + INTERVAL '1 days 21 hours 42 minutes', 5072.00, 180, 112),
  ('SP-1101', 'SpiceJet', 'Ahmedabad', 'Indore', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 9 hours 15 minutes', 7069.00, 180, 117),
  ('GO-1102', 'GoAir', 'Ahmedabad', 'Goa', NOW() + INTERVAL '2 days 4 hours', NOW() + INTERVAL '2 days 7 hours 25 minutes', 7315.00, 180, 31),
  ('AI-1103', 'AirAsia India', 'Ahmedabad', 'Bhopal', NOW() + INTERVAL '2 days 20 hours', NOW() + INTERVAL '2 days 23 hours 57 minutes', 7121.00, 180, 5),
  ('ST-1104', 'Star Air', 'Ahmedabad', 'Kochi', NOW() + INTERVAL '3 days 2 hours', NOW() + INTERVAL '3 days 5 hours 54 minutes', 4216.00, 180, 115),
  ('AK-1105', 'Akasa Air', 'Ahmedabad', 'Patna', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 11 hours 37 minutes', 6194.00, 180, 60),
  ('AI-1106', 'Air India', 'Ahmedabad', 'Chandigarh', NOW() + INTERVAL '4 days 6 hours', NOW() + INTERVAL '4 days 8 hours 32 minutes', 6539.00, 180, 153),
  ('SP-1107', 'SpiceJet', 'Ahmedabad', 'Varanasi', NOW() + INTERVAL '4 days 9 hours', NOW() + INTERVAL '4 days 12 hours 30 minutes', 7069.00, 180, 0),
  ('GO-1108', 'GoAir', 'Ahmedabad', 'Indore', NOW() + INTERVAL '5 days 3 hours', NOW() + INTERVAL '5 days 6 hours 16 minutes', 7425.00, 180, 169),
  ('AI-1109', 'AirAsia India', 'Ahmedabad', 'Amritsar', NOW() + INTERVAL '5 days 10 hours', NOW() + INTERVAL '5 days 13 hours 31 minutes', 5611.00, 180, 15),
  ('ST-1110', 'Star Air', 'Ahmedabad', 'Bhopal', NOW() + INTERVAL '6 days 3 hours', NOW() + INTERVAL '6 days 4 hours 21 minutes', 7181.00, 180, 118),
  ('AK-1111', 'Akasa Air', 'Ahmedabad', 'Srinagar', NOW() + INTERVAL '6 days 16 hours', NOW() + INTERVAL '6 days 18 hours 40 minutes', 3524.00, 180, 82),
  ('GO-1112', 'GoAir', 'Jaipur', 'Lucknow', NOW() + INTERVAL '0 days 3 hours', NOW() + INTERVAL '0 days 4 hours 19 minutes', 4899.00, 180, 67),
  ('AI-1113', 'AirAsia India', 'Jaipur', 'Indore', NOW() + INTERVAL '0 days 18 hours', NOW() + INTERVAL '0 days 21 hours 15 minutes', 5064.00, 180, 157),
  ('ST-1114', 'Star Air', 'Jaipur', 'Goa', NOW() + INTERVAL '1 days 10 hours', NOW() + INTERVAL '1 days 11 hours 35 minutes', 5501.00, 180, 112),
  ('AK-1115', 'Akasa Air', 'Jaipur', 'Bhopal', NOW() + INTERVAL '1 days 20 hours', NOW() + INTERVAL '1 days 23 hours 38 minutes', 5204.00, 180, 65),
  ('AI-1116', 'Air India', 'Jaipur', 'Kochi', NOW() + INTERVAL '2 days 3 hours', NOW() + INTERVAL '2 days 4 hours 56 minutes', 3506.00, 180, 162),
  ('SP-1117', 'SpiceJet', 'Jaipur', 'Patna', NOW() + INTERVAL '2 days 9 hours', NOW() + INTERVAL '2 days 12 hours 37 minutes', 6341.00, 180, 60),
  ('GO-1118', 'GoAir', 'Jaipur', 'Chandigarh', NOW() + INTERVAL '3 days 10 hours', NOW() + INTERVAL '3 days 12 hours 32 minutes', 5755.00, 180, 111),
  ('AI-1119', 'AirAsia India', 'Jaipur', 'Varanasi', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 9 hours 28 minutes', 7418.00, 180, 118),
  ('ST-1120', 'Star Air', 'Jaipur', 'Indore', NOW() + INTERVAL '4 days 21 hours', NOW() + INTERVAL '4 days 23 hours 32 minutes', 7480.00, 180, 28),
  ('AK-1121', 'Akasa Air', 'Jaipur', 'Amritsar', NOW() + INTERVAL '4 days 10 hours', NOW() + INTERVAL '4 days 13 hours 47 minutes', 4143.00, 180, 23),
  ('AI-1122', 'Air India', 'Jaipur', 'Bhopal', NOW() + INTERVAL '5 days 15 hours', NOW() + INTERVAL '5 days 16 hours 23 minutes', 3528.00, 180, 31),
  ('SP-1123', 'SpiceJet', 'Jaipur', 'Srinagar', NOW() + INTERVAL '5 days 3 hours', NOW() + INTERVAL '5 days 5 hours 43 minutes', 3128.00, 180, 23),
  ('GO-1124', 'GoAir', 'Jaipur', 'Patna', NOW() + INTERVAL '6 days 21 hours', NOW() + INTERVAL '6 days 24 hours 18 minutes', 3205.00, 180, 82),
  ('AI-1125', 'AirAsia India', 'Jaipur', 'Thiruvananthapuram', NOW() + INTERVAL '6 days 5 hours', NOW() + INTERVAL '6 days 8 hours 44 minutes', 7411.00, 180, 172),
  ('AI-1126', 'Air India', 'Lucknow', 'Goa', NOW() + INTERVAL '0 days 10 hours', NOW() + INTERVAL '0 days 11 hours 17 minutes', 7164.00, 180, 98),
  ('SP-1127', 'SpiceJet', 'Lucknow', 'Bhopal', NOW() + INTERVAL '0 days 14 hours', NOW() + INTERVAL '0 days 16 hours 24 minutes', 4283.00, 180, 22),
  ('GO-1128', 'GoAir', 'Lucknow', 'Kochi', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 9 hours 48 minutes', 3664.00, 180, 153),
  ('AI-1129', 'AirAsia India', 'Lucknow', 'Patna', NOW() + INTERVAL '1 days 9 hours', NOW() + INTERVAL '1 days 12 hours 32 minutes', 7719.00, 180, 64),
  ('ST-1130', 'Star Air', 'Lucknow', 'Chandigarh', NOW() + INTERVAL '2 days 16 hours', NOW() + INTERVAL '2 days 19 hours 49 minutes', 7451.00, 180, 127),
  ('AK-1131', 'Akasa Air', 'Lucknow', 'Varanasi', NOW() + INTERVAL '2 days 5 hours', NOW() + INTERVAL '2 days 8 hours 58 minutes', 3871.00, 180, 87),
  ('AI-1132', 'Air India', 'Lucknow', 'Indore', NOW() + INTERVAL '3 days 5 hours', NOW() + INTERVAL '3 days 6 hours 29 minutes', 6648.00, 180, 4),
  ('SP-1133', 'SpiceJet', 'Lucknow', 'Amritsar', NOW() + INTERVAL '3 days 18 hours', NOW() + INTERVAL '3 days 21 hours 18 minutes', 3176.00, 180, 139),
  ('GO-1134', 'GoAir', 'Lucknow', 'Bhopal', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 10 hours 54 minutes', 5899.00, 180, 9),
  ('AI-1135', 'AirAsia India', 'Lucknow', 'Srinagar', NOW() + INTERVAL '4 days 21 hours', NOW() + INTERVAL '4 days 23 hours 29 minutes', 5092.00, 180, 179),
  ('ST-1136', 'Star Air', 'Lucknow', 'Patna', NOW() + INTERVAL '5 days 6 hours', NOW() + INTERVAL '5 days 9 hours 24 minutes', 5767.00, 180, 32),
  ('AK-1137', 'Akasa Air', 'Lucknow', 'Thiruvananthapuram', NOW() + INTERVAL '5 days 3 hours', NOW() + INTERVAL '5 days 4 hours 44 minutes', 7824.00, 180, 26),
  ('AI-1138', 'Air India', 'Lucknow', 'Varanasi', NOW() + INTERVAL '6 days 4 hours', NOW() + INTERVAL '6 days 7 hours 45 minutes', 7965.00, 180, 100),
  ('SP-1139', 'SpiceJet', 'Lucknow', 'Coimbatore', NOW() + INTERVAL '6 days 16 hours', NOW() + INTERVAL '6 days 17 hours 31 minutes', 6415.00, 180, 129),
  ('ST-1140', 'Star Air', 'Goa', 'Kochi', NOW() + INTERVAL '0 days 9 hours', NOW() + INTERVAL '0 days 12 hours 22 minutes', 3484.00, 180, 9),
  ('AK-1141', 'Akasa Air', 'Goa', 'Patna', NOW() + INTERVAL '0 days 8 hours', NOW() + INTERVAL '0 days 9 hours 47 minutes', 5894.00, 180, 11),
  ('AI-1142', 'Air India', 'Goa', 'Chandigarh', NOW() + INTERVAL '1 days 7 hours', NOW() + INTERVAL '1 days 9 hours 22 minutes', 3598.00, 180, 13),
  ('SP-1143', 'SpiceJet', 'Goa', 'Varanasi', NOW() + INTERVAL '1 days 16 hours', NOW() + INTERVAL '1 days 19 hours 20 minutes', 4302.00, 180, 71),
  ('GO-1144', 'GoAir', 'Goa', 'Indore', NOW() + INTERVAL '2 days 3 hours', NOW() + INTERVAL '2 days 6 hours 48 minutes', 4934.00, 180, 112),
  ('AI-1145', 'AirAsia India', 'Goa', 'Amritsar', NOW() + INTERVAL '2 days 15 hours', NOW() + INTERVAL '2 days 18 hours 39 minutes', 7177.00, 180, 128),
  ('ST-1146', 'Star Air', 'Goa', 'Bhopal', NOW() + INTERVAL '3 days 9 hours', NOW() + INTERVAL '3 days 11 hours 49 minutes', 7756.00, 180, 37),
  ('AK-1147', 'Akasa Air', 'Goa', 'Srinagar', NOW() + INTERVAL '3 days 12 hours', NOW() + INTERVAL '3 days 15 hours 49 minutes', 4077.00, 180, 117),
  ('AI-1148', 'Air India', 'Goa', 'Patna', NOW() + INTERVAL '4 days 9 hours', NOW() + INTERVAL '4 days 10 hours 56 minutes', 4407.00, 180, 132),
